 13743.75684  1.1497920e-03
 13843.78418  7.8532770e-03
 13943.81055  1.1517744e-01
 14043.83789  8.5946947e-01
 14143.86523  8.9475620e-01
 14243.89258  9.5155197e-01
 14343.91992  9.7028565e-01
 14443.94727  9.7653019e-01
 14543.97363  9.6077013e-01
 14644.00098  9.6255428e-01
 14744.02930  9.6949267e-01
 14844.05566  9.3262011e-01
 14944.08301  9.3886459e-01
 15044.11035  9.6820414e-01
 15144.13672  9.7573721e-01
 15244.16504  9.5561588e-01
 15344.19238  9.2657375e-01
 15444.21875  9.4372147e-01
 15544.24609  9.6751034e-01
 15644.27344  9.6979004e-01
 15744.30078  9.7692668e-01
 15844.32812  9.7266454e-01
 15944.35547  9.7058302e-01
 16044.38184  9.5492208e-01
 16144.40918  9.4590211e-01
 16244.43555  9.5720178e-01
 16344.46387  9.2518604e-01
 16444.49023  9.1904062e-01
 16544.51758  9.5749921e-01
 16644.54492  9.2806053e-01
 16744.57227  9.2578077e-01
 16844.59961  8.1367606e-01
 16944.62695  6.3426882e-02
 17044.65430  4.0629283e-03
