 1.27860e+05 0.0001
 1.28150e+05 0.0002
 1.28440e+05 0.0003
 1.28730e+05 0.0003
 1.29020e+05 0.0005
 1.29310e+05 0.0007
 1.29600e+05 0.0009
 1.29890e+05 0.0011
 1.30180e+05 0.0015
 1.30470e+05 0.0019
 1.30760e+05 0.0025
 1.31050e+05 0.0032
 1.31340e+05 0.0042
 1.31630e+05 0.0056
 1.31920e+05 0.0074
 1.32210e+05 0.0099
 1.32500e+05 0.0134
 1.32790e+05 0.0183
 1.33080e+05 0.0251
 1.33370e+05 0.0343
 1.33660e+05 0.0468
 1.33950e+05 0.0632
 1.34240e+05 0.0839
 1.34530e+05 0.1092
 1.34820e+05 0.1377
 1.35110e+05 0.1684
 1.35400e+05 0.1996
 1.35690e+05 0.2276
 1.35980e+05 0.2516
 1.36270e+05 0.2701
 1.36560e+05 0.2839
 1.36850e+05 0.2936
 1.37140e+05 0.3001
 1.37430e+05 0.3046
 1.37720e+05 0.3076
 1.38010e+05 0.3100
 1.38300e+05 0.3118
 1.38590e+05 0.3134
 1.38880e+05 0.3148
 1.39170e+05 0.3164
 1.39460e+05 0.3183
 1.39750e+05 0.3202
 1.40040e+05 0.3221
 1.40330e+05 0.3246
 1.40620e+05 0.3272
 1.40910e+05 0.3298
 1.41200e+05 0.3324
 1.41490e+05 0.3349
 1.41780e+05 0.3375
 1.42070e+05 0.3403
 1.42360e+05 0.3433
 1.42650e+05 0.3458
 1.42940e+05 0.3475
 1.43230e+05 0.3484
 1.43520e+05 0.3490
 1.43810e+05 0.3500
 1.44100e+05 0.3517
 1.44390e+05 0.3535
 1.44680e+05 0.3548
 1.44970e+05 0.3557
 1.45260e+05 0.3557
 1.45550e+05 0.3568
 1.45840e+05 0.3589
 1.46130e+05 0.3610
 1.46420e+05 0.3625
 1.46710e+05 0.3636
 1.47000e+05 0.3646
 1.47290e+05 0.3655
 1.47580e+05 0.3664
 1.47870e+05 0.3674
 1.48160e+05 0.3684
 1.48450e+05 0.3692
 1.48740e+05 0.3697
 1.49030e+05 0.3695
 1.49320e+05 0.3686
 1.49610e+05 0.3679
 1.49900e+05 0.3683
 1.50190e+05 0.3687
 1.50480e+05 0.3683
 1.50770e+05 0.3672
 1.51060e+05 0.3654
 1.51350e+05 0.3634
 1.51640e+05 0.3611
 1.51930e+05 0.3585
 1.52220e+05 0.3556
 1.52510e+05 0.3523
 1.52800e+05 0.3489
 1.53090e+05 0.3454
 1.53380e+05 0.3421
 1.53670e+05 0.3394
 1.53960e+05 0.3373
 1.54250e+05 0.3359
 1.54540e+05 0.3349
 1.54830e+05 0.3342
 1.55120e+05 0.3335
 1.55410e+05 0.3327
 1.55700e+05 0.3316
 1.55990e+05 0.3304
 1.56280e+05 0.3291
 1.56570e+05 0.3278
 1.56860e+05 0.3266
 1.57150e+05 0.3257
 1.57440e+05 0.3251
 1.57730e+05 0.3253
 1.58020e+05 0.3261
 1.58310e+05 0.3275
 1.58600e+05 0.3293
 1.58890e+05 0.3311
 1.59180e+05 0.3327
 1.59470e+05 0.3339
 1.59760e+05 0.3348
 1.60050e+05 0.3357
 1.60340e+05 0.3373
 1.60630e+05 0.3385
 1.60920e+05 0.3391
 1.61210e+05 0.3392
 1.61500e+05 0.3388
 1.61790e+05 0.3382
 1.62080e+05 0.3374
 1.62370e+05 0.3370
 1.62660e+05 0.3369
 1.62950e+05 0.3372
 1.63240e+05 0.3374
 1.63530e+05 0.3372
 1.63820e+05 0.3359
 1.64110e+05 0.3327
 1.64400e+05 0.3272
 1.64690e+05 0.3179
 1.64980e+05 0.3046
 1.65270e+05 0.2866
 1.65560e+05 0.2642
 1.65850e+05 0.2382
 1.66140e+05 0.2098
 1.66430e+05 0.1803
 1.66720e+05 0.1514
 1.67010e+05 0.1244
 1.67300e+05 0.1011
 1.67590e+05 0.0811
 1.67880e+05 0.0649
 1.68170e+05 0.0514
 1.68460e+05 0.0406
 1.68750e+05 0.0318
 1.69040e+05 0.0249
 1.69330e+05 0.0194
 1.69620e+05 0.0152
 1.69910e+05 0.0120
 1.70200e+05 0.0096
 1.70490e+05 0.0077
 1.70780e+05 0.0062
 1.71070e+05 0.0049
 1.71360e+05 0.0039
 1.71650e+05 0.0031
 1.71940e+05 0.0024
 1.72230e+05 0.0018
 1.72520e+05 0.0014
 1.72810e+05 0.0011
 1.73100e+05 0.0009
 1.73390e+05 0.0007
 1.73680e+05 0.0005
 1.73970e+05 0.0004
 1.74260e+05 0.0003
 1.74550e+05 0.0002
 1.74840e+05 0.0001
 1.75130e+05 0.0000
